importances_mean,importances_std,colnames
0.019143125467160894,0.0015685574700971014,Angle20
0.022833429429975554,0.002687599828370186,Coherency20
0.05686418730853215,0.01742527758024745,Energy20
0.012809939748050824,0.0017634277845020886,MeanInt20
0.016370683198431532,0.00419108313782296,VarInt20
0.007300317594673487,0.003965508376531751,Density20
0.007502980510611309,0.005565673762008051,VarDensity20
0.017410965677564765,0.0012410689559676615,OrientationRef20
0.026776814961472977,0.0020711114671671344,Angle60
0.02869560660837496,0.004723642301167938,Coherency60
0.06048338037777367,0.0072098847501116834,Energy60
0.01793613934525217,0.006333413982835864,MeanInt60
0.021962176669086945,0.007519146861007172,VarInt60
0.012668098985581005,0.010357586216714672,Density60
0.009710437802862197,0.007960228225195888,VarDensity60
0.024306402015173628,0.0024191396934507632,OrientationRef60
0.030841069659840757,0.002365641419743523,Angle100
0.04141442492951958,0.0074525298898122285,Coherency100
0.05928707027299187,0.00784936321893558,Energy100
0.02597448457609598,0.01135115639766822,MeanInt100
0.030893402859619272,0.010123023853808224,VarInt100
0.017015396231338735,0.011591338287976809,Density100
0.017263704545293666,0.01682281147963948,VarDensity100
0.029727475082278923,0.0026995224175645947,OrientationRef100
0.03670748497403031,0.0030474128661730987,Angle140
0.04892617478484075,0.007830998682611527,Coherency140
0.06211336762067135,0.007649697048448754,Energy140
0.03751363528548401,0.014559493283218108,MeanInt140
0.037328142146438224,0.010135221834002544,VarInt140
0.0278643417976762,0.016808334732703434,Density140
0.016300817127240647,0.006800929180416857,VarDensity140
0.03421338409103535,0.003217557976109585,OrientationRef140
0.06273275627017655,0.0040376332515364936,Dist
0.0211081820448499,0.016595294513658872,Frac
