importances_mean,importances_std,colnames
0.024608453262107664,0.001962610979803309,Angle20
0.024957341006537508,0.003723925654971354,Coherency20
0.0314861615490516,0.002227409824549076,Energy20
0.015348316867975987,0.0019832485422289644,MeanInt20
0.018069553024852095,0.0022799270259593607,VarInt20
0.01107703200254815,0.0013808469470705242,Density20
0.011106582413610597,0.001493795044740455,VarDensity20
0.022308989663198213,0.0018769435208951769,OrientationRef20
0.03247670655979106,0.0027360917018050216,Angle60
0.031231213964274012,0.003339804828167305,Coherency60
0.03899891470583573,0.011839136547831029,Energy60
0.019029705260612248,0.00729551832198671,MeanInt60
0.022928588121340528,0.003402406733861466,VarInt60
0.014384326027973607,0.006136564537042856,Density60
0.011911029244607744,0.001312320140013355,VarDensity60
0.02821524902097014,0.0036837419858886107,OrientationRef60
0.03767440098898391,0.0032570530195876746,Angle100
0.039514378919241505,0.00590730019320396,Coherency100
0.04744836928532507,0.011526424970338508,Energy100
0.023365591865089887,0.00871564231429944,MeanInt100
0.02769761183294369,0.004048242318567874,VarInt100
0.018448564413640758,0.008255395905128034,Density100
0.013581376008818041,0.0018712089959794496,VarDensity100
0.03466270302736916,0.004951963020731293,OrientationRef100
0.04301226683752253,0.0029849361136813856,Angle140
0.052411946520707284,0.006293430052279663,Coherency140
0.0702333325279967,0.01354637018323084,Energy140
0.035916052388597186,0.016529191572310583,MeanInt140
0.03253441047261108,0.0037239699924329337,VarInt140
0.027178443945562646,0.01133974813364481,Density140
0.018525632759288722,0.0030863299005771104,VarDensity140
0.039117015327450884,0.004504561055690826,OrientationRef140
0.062259328029634464,0.0047169516253164024,Dist
0.01828041215392961,0.005938650277204503,Frac
