importances_mean,importances_std,colnames
0.0034970296975032253,0.0003973184437247202,Angle20
0.00952480863548781,0.0004500254094792627,Coherency20
0.1298390096265507,0.0013791122529656322,Energy20
0.0022646850949424053,0.00028963468879137565,MeanInt20
0.004836547817474624,0.000408359893683191,VarInt20
0.0012927212330145561,0.00021323013864898662,Density20
0.0008438617463904767,0.00019601793424126602,VarDensity20
0.00398299977671344,0.0003219315233742129,OrientationRef20
0.0046673554113882704,0.0003728421661674643,Angle60
0.012627494844050968,0.0005026761522921441,Coherency60
0.049310330289643836,0.0011016305260945437,Energy60
0.00499641060212902,0.0003108735320543074,MeanInt60
0.013159837349391804,0.0005032415266375579,VarInt60
0.003431392027196515,0.0003255550329371267,Density60
0.0016629529057330542,0.00024010671692109288,VarDensity60
0.00919518602847309,0.000486049247751135,OrientationRef60
0.006832260435893359,0.0004333781516049794,Angle100
0.019318944246275904,0.0005241085456869495,Coherency100
0.02727803407107188,0.0006367429351048061,Energy100
0.006210706493301854,0.00039020161019814257,MeanInt100
0.028324368669971792,0.0007101786315030691,VarInt100
0.009773078532850196,0.0004963487580291362,Density100
0.003695633757518424,0.0002796994880889561,VarDensity100
0.011418443173293569,0.0005184838556354086,OrientationRef100
0.008051748128981425,0.0004050060280319078,Angle140
0.023722411837411674,0.00044441792988665705,Coherency140
0.022429189905061472,0.0007535055968123536,Energy140
0.013192068397175117,0.00038650685879453435,MeanInt140
0.06436555995986964,0.0009187455505747802,VarInt140
0.022266079979758886,0.0006312901458602511,Density140
0.0178939533826498,0.00043902411159661817,VarDensity140
0.013867206752175476,0.0005809563209260448,OrientationRef140
0.12842933825780484,0.0013844753078440508,Dist
0.005872766061725806,0.000418632307819713,Frac
