importances_mean,importances_std,colnames
0.008624313079533708,0.00011541737633462784,Angle20
0.02910235292447072,0.0002796311384063426,Coherency20
0.033320790082785476,0.00022031487509421326,Energy20
0.007935262627266671,0.00015786861957621688,MeanInt20
0.026756883404569564,0.0002677717935743227,VarInt20
0.0032045638498785943,8.340631988877333e-05,Density20
0.0025187083765247586,9.804942745305357e-05,VarDensity20
0.00673111057467024,0.00010670558761476218,OrientationRef20
0.011518253979523784,0.0001382049238313577,Angle60
0.015875140224074547,0.00023412330977811276,Coherency60
0.056523791942973224,0.00031917053410176447,Energy60
0.006790750181048832,9.131723907332568e-05,MeanInt60
0.01292368970364799,0.0001415301353699694,VarInt60
0.005569203243258614,0.0001091385434727534,Density60
0.002431023955241929,0.0001376164340252868,VarDensity60
0.010765303948993965,0.00016960010741845377,OrientationRef60
0.01304829388126041,0.0001166770967268892,Angle100
0.013498430910356029,0.00014991833084162953,Coherency100
0.060269017224486354,0.0002040421413948947,Energy100
0.01860542720418047,0.00018474209045928142,MeanInt100
0.018881615381338514,0.00021097615588894198,VarInt100
0.012835650284708167,0.00020711337305108168,Density100
0.004376766113343688,0.00011806487718804247,VarDensity100
0.010985047498686552,0.0001422225354837537,OrientationRef100
0.02230308279965355,0.00026048798230318286,Angle140
0.018133280320349922,0.00015039504125001062,Coherency140
0.10248178862019511,0.00041800593488023973,Energy140
0.02420693523422749,0.00018320390056738927,MeanInt140
0.04532929582664759,0.0003353232403069993,VarInt140
0.02267583033951979,0.0001478189100668966,Density140
0.012537452252815173,0.00019694564866260938,VarDensity140
0.014715362878605032,7.616830258375152e-05,OrientationRef140
0.05590929099867944,0.00023796390886745384,Dist
0.013612030160600964,0.00015398225423701834,Frac
