importances_mean,importances_std,colnames
0.02058771320374301,0.0014447458437675264,Angle20
0.031047616058637945,0.01420967317651315,Coherency20
0.046308337367865084,0.010323074665307044,Energy20
0.02140545731382491,0.003941899834624774,MeanInt20
0.0366128952967831,0.010241072833031169,VarInt20
0.008090434839174045,0.0031660949282546905,Density20
0.007077278623585788,0.0029231273882376757,VarDensity20
0.018923529834048033,0.0009379198591285662,OrientationRef20
0.0251944464004361,0.0015287334986654915,Angle60
0.02689753944157618,0.006252942240693778,Coherency60
0.04853852473011642,0.022452309562415645,Energy60
0.024749564037330207,0.005875098971283507,MeanInt60
0.028465351429325103,0.009781218761643694,VarInt60
0.012440827098246312,0.007093450406959488,Density60
0.009525635825211798,0.004044769905735538,VarDensity60
0.02425211588556169,0.0017219646006283091,OrientationRef60
0.02744135584911201,0.001980418896877283,Angle100
0.026892299158936546,0.0024309932847997612,Coherency100
0.05594835068102784,0.027100905360048003,Energy100
0.031009672638525276,0.007478816654346078,MeanInt100
0.036368273483264074,0.01704387006590923,VarInt100
0.017625808398460528,0.0077133073756940505,Density100
0.013547270765130844,0.007480757528456106,VarDensity100
0.02549330817401855,0.0017936245207343644,OrientationRef100
0.03193943128754315,0.0025699975738658985,Angle140
0.030786665887751957,0.0022951770717336358,Coherency140
0.0780429856377132,0.033501479090328586,Energy140
0.0343440567800178,0.007030013334202596,MeanInt140
0.047679854157148524,0.018758741074088644,VarInt140
0.02495196563218882,0.010240098635320391,Density140
0.02012657996058987,0.008421840409356703,VarDensity140
0.028494744482308616,0.0020068224371487145,OrientationRef140
0.05791870597912867,0.004839664079560818,Dist
0.02127140366166797,0.009761332571521982,Frac
