importances_mean,importances_std,colnames
0.002115857041502312,0.007517451157038495,Angle20
0.04100719207516564,0.0841593684197772,Coherency20
0.1081012352638689,0.11474405320280895,Energy20
0.00024534077838314356,0.0013212005255038904,MeanInt20
0.009706079192557296,0.020417789184056942,VarInt20
0.0009800429809538871,0.0045414679101100745,Density20
0.0,0.0,VarDensity20
0.0001039684263138574,0.0004028573588763656,OrientationRef20
0.003418460441500403,0.007170723954589422,Angle60
0.09421237295288305,0.1336583064794087,Coherency60
0.0898675170425191,0.08817245819264925,Energy60
0.009453251394657348,0.029611715050068273,MeanInt60
0.0045278936343663995,0.013618755974135257,VarInt60
0.002452091845956419,0.009253800270508282,Density60
0.0011486029803042612,0.0061854163469043134,VarDensity60
0.0012163757757230175,0.004621160950864678,OrientationRef60
0.0063968856671606355,0.01655358609655913,Angle100
0.12120503515863576,0.15582362133272173,Coherency100
0.05830090718296885,0.06992334321616099,Energy100
0.011587950216849005,0.02476211253644885,MeanInt100
0.015913716027735975,0.035443252273389986,VarInt100
0.01154636152640694,0.022724533505756338,Density100
0.0045132199739206826,0.012156745937056285,VarDensity100
0.003926108511710943,0.009684735282701036,OrientationRef100
0.00974671970530459,0.014220292746708834,Angle140
0.1045084684577987,0.15080074121991932,Coherency140
0.09572377044198474,0.08098670369400622,Energy140
0.025592541424697322,0.031947646884827596,MeanInt140
0.016497230193687946,0.03483287435022192,VarInt140
0.009008530921503699,0.029383730172246145,Density140
0.015095504482415506,0.024651414836974687,VarDensity140
0.010572796828567498,0.01941185332246002,OrientationRef140
0.10382216691636546,0.10618467440894136,Dist
0.0074858045356308274,0.019648822307739837,Frac
