importances_mean,importances_std,colnames
0.0066568943618365035,0.0001232614752631237,Angle20
0.022768449142821705,0.00019130258363922966,Coherency20
0.05565312966903025,0.0003593978656655848,Energy20
0.005918842572566533,0.0001433317460869781,MeanInt20
0.01832805398130232,0.00018668767769267904,VarInt20
0.003867448705816138,0.00012071750774208365,Density20
0.0028543634220538,0.00011104068584901627,VarDensity20
0.005917186830830253,0.00011183766198112334,OrientationRef20
0.010144973519336983,0.00015656222545466515,Angle60
0.01565206148156314,0.0001799675339021672,Coherency60
0.08142421698043607,0.00046612509787184953,Energy60
0.008346325127600591,0.00014480066735299922,MeanInt60
0.013691628712360156,0.00016280153103804716,VarInt60
0.005696160224342713,0.00014584494407627498,Density60
0.003647584328042671,0.0001147191712616752,VarDensity60
0.009495608077525327,0.00017704277878797755,OrientationRef60
0.012739431360114014,0.00016937101386423344,Angle100
0.019261951811846163,0.00019554844351677488,Coherency100
0.05652454118379087,0.00043041407718648735,Energy100
0.011904511198950063,0.00022506562030071516,MeanInt100
0.01970537111534724,0.0002466329003286022,VarInt100
0.013863918030114422,0.00021763832238440534,Density100
0.005959805692616764,0.00015076363578128457,VarDensity100
0.012981049546813095,0.00018772500307350217,OrientationRef100
0.016651178091760928,0.00019365501066492341,Angle140
0.024576029804287806,0.00022836534253220552,Coherency140
0.08206938769164956,0.000500695798930964,Energy140
0.019243102431147064,0.00023541341705024676,MeanInt140
0.028021203247797204,0.00022406946749797796,VarInt140
0.027552559932718424,0.0002704055097810376,Density140
0.013006831137999863,0.00021758711319727793,VarDensity140
0.01630405795626316,0.00021048238507073445,OrientationRef140
0.06457844011829311,0.0003972898265383951,Dist
0.011996585986657975,0.00019271085722652798,Frac
