importances_mean,importances_std,colnames
0.0,0.0,Angle20
0.00017379449738414988,8.760220447017745e-05,Coherency20
0.0002452590711534512,0.00010119429260491112,Energy20
7.810902513694095e-06,2.0159860724541094e-05,MeanInt20
1.3956082151704112e-05,2.1007498139545317e-05,VarInt20
1.2212832692926057e-06,1.8867899214863907e-05,Density20
6.961093519530781e-06,1.2288272288226468e-05,VarDensity20
0.0,0.0,OrientationRef20
0.0,0.0,Angle60
2.9668591042519842e-05,4.7277903932824705e-05,Coherency60
0.013716739967536914,0.0003959074441615323,Energy60
-3.041336836036764e-06,2.99836489731092e-05,MeanInt60
9.70513302536391e-05,5.65319605386908e-05,VarInt60
7.790879299322725e-05,1.6709902336801495e-05,Density60
9.025745447407049e-06,1.4549900248257033e-05,VarDensity60
0.0,0.0,OrientationRef60
0.0,0.0,Angle100
0.00019575023129973687,3.2285550563878145e-05,Coherency100
-0.0006108001598381948,0.00016931076364368056,Energy100
-7.5226439108141046e-06,3.5996562764591837e-05,MeanInt100
0.0001492723543585206,8.997625133692648e-05,VarInt100
-3.9993656436180615e-06,2.6469972512284313e-05,Density100
0.00012573687240080938,3.583014402232898e-05,VarDensity100
0.0,0.0,OrientationRef100
0.0,0.0,Angle140
7.025473697600168e-05,3.867443372569066e-05,Coherency140
0.02670819569989908,0.0005971096857499901,Energy140
4.471679294159037e-05,3.321732646194206e-05,MeanInt140
0.00023031948994637342,9.092256612331668e-05,VarInt140
0.00018028858425197896,5.3200135390927086e-05,Density140
9.715327246917482e-06,2.4177103425480937e-05,VarDensity140
0.0,0.0,OrientationRef140
-4.219799820435188e-05,7.747817081388256e-05,Dist
-3.5832635659982516e-06,2.7654327995442384e-05,Frac
