importances_mean,importances_std,colnames
0.0,0.0,Angle20
0.022314556961877716,0.0932170760425747,Coherency20
0.09234568041521281,0.21679904124484237,Energy20
0.005029622066268604,0.04109660376214868,MeanInt20
0.003259214036510365,0.023045094871172084,VarInt20
0.0019953907222566335,0.01773542067792471,Density20
0.00017389764103698766,0.0015456360422493045,VarDensity20
0.0,0.0,OrientationRef20
0.0,0.0,Angle60
0.0018805213719616728,0.011747779254367006,Coherency60
0.22525352287151187,0.3740022849992436,Energy60
0.012790286506172286,0.07118363060733424,MeanInt60
0.021922689599992266,0.08461428182437251,VarInt60
0.0006331368878462961,0.003970572247816151,Density60
0.00014705039708040325,0.0013070125183940798,VarDensity60
0.0,0.0,OrientationRef60
0.0,0.0,Angle100
0.0028416150738840053,0.012437313025786483,Coherency100
0.14424626159207454,0.28471571987220434,Energy100
0.01295644473386005,0.07074120259672381,MeanInt100
0.05031285079769972,0.15999956835864731,VarInt100
0.005572118813868749,0.029685649315536806,Density100
0.005945934978664262,0.03743324251310363,VarDensity100
0.0,0.0,OrientationRef100
0.0,0.0,Angle140
0.0021205462669764046,0.01121069544273913,Coherency140
0.263371441498088,0.3680246904978704,Energy140
0.014373861584995502,0.05762778674538993,MeanInt140
0.039764368630644316,0.12456570125202845,VarInt140
0.014035795550561999,0.053219259433966826,Density140
0.0012420945987268403,0.007095488182865362,VarDensity140
0.0,0.0,OrientationRef140
0.04937771071718693,0.1419417865205512,Dist
0.0060933856850408094,0.03448489267186911,Frac
