Angle20,Coherency20,Energy20,MeanInt20,VarInt20,Density20,VarDensity20,OrientationRef20,Angle60,Coherency60,Energy60,MeanInt60,VarInt60,Density60,VarDensity60,OrientationRef60,Angle100,Coherency100,Energy100,MeanInt100,VarInt100,Density100,VarDensity100,OrientationRef100,Angle140,Coherency140,Energy140,MeanInt140,VarInt140,Density140,VarDensity140,OrientationRef140,Dist,Frac
0.0,8.702561200757408e-05,0.0001480190577479723,7.5676268331825725e-06,4.815533014679296e-06,-6.467047758862421e-06,9.35501789078863e-06,0.0,0.0,7.788946631082094e-05,0.013985867610485925,2.160469887313443e-05,7.858913943836754e-06,0.00010208626241570151,2.0501002121586787e-05,0.0,0.0,0.0002060645778043657,-0.0005234527817910006,-3.9356218655361985e-05,0.00011524539157614644,6.055546333705308e-06,0.0001241082566754148,0.0,0.0,0.00011064993101295162,0.02729783331347757,6.507755926032921e-05,0.00016822614816469628,0.00018505299918225582,3.26146645216463e-05,0.0,-0.00012897761138974673,4.4166024787628544e-05
0.0,0.0002377752454106874,0.00020825829678783325,1.3209814457737501e-05,3.879976684095787e-05,-2.2981047321124493e-05,6.465344729256195e-06,0.0,0.0,-1.1008711428672768e-05,0.013461987290486421,-6.564143791898402e-05,0.00012862772769672848,7.04437721753548e-05,-3.302820951844865e-06,0.0,0.0,0.0002661922137697781,-0.00036441244488449875,8.80794659252615e-06,0.00013326139247038515,-4.720048359541096e-05,8.21470916854139e-05,0.0,0.0,2.326064045754528e-05,0.027186790541073313,-1.8989047751549748e-05,0.0002113062944105737,0.00014704215715610758,-5.83449193012342e-05,0.0,-3.757831079564955e-05,-5.462318886939599e-05
0.0,0.00032328273228754423,0.00020765745645434652,-2.0916199050979856e-05,-2.132858464087839e-05,3.992031505695159e-06,6.878675777977072e-06,0.0,0.0,7.376967679051383e-05,0.013626668646547269,-2.6145457488246926e-05,6.266855555048245e-05,5.462195890171273e-05,-1.1145840461468381e-05,0.0,0.0,0.00022903211334568407,-0.0006476540688393762,-2.2981047321124493e-05,0.00011633102809494034,-1.8026599442944047e-05,7.541378339948057e-05,0.0,0.0,4.956548166457075e-06,0.02587641789067341,4.2243021071142195e-05,0.0002271438628734801,0.0001707180374554973,-1.5549494133071384e-05,0.0,-8.905824850291566e-05,-1.719963625579357e-05
0.0,0.00024039013623844419,0.00014602950420450345,1.6099979665007425e-05,1.541048491693342e-05,6.193342086957543e-06,9.492828947799126e-06,0.0,0.0,7.433652360111509e-06,0.013620122307421378,5.917753879924881e-06,4.8756161175611545e-05,7.828522048092257e-05,7.154246303486822e-06,0.0,0.0,0.00021129350618209752,-0.0009648532981165747,-6.191734130189808e-06,4.8644502009143054e-05,1.926615593050851e-05,0.00016909764741723787,0.0,0.0,9.716120449176913e-05,0.027515895101192345,2.917176117667175e-05,5.868261834929278e-05,9.582100422744766e-05,1.0871121000399775e-05,0.0,3.00092345427716e-05,-9.357044984947827e-06
0.0,0.0002023775804190775,0.00028668006404797275,1.362343887156836e-05,-2.7521322613077714e-06,-2.2706142316919475e-05,2.8067379419072225e-05,0.0,0.0,-3.729712545308406e-05,0.013657241488728822,2.160469887313443e-05,0.00013372013134749228,7.814659038918315e-05,2.0638952654805642e-05,0.0,0.0,0.00015279350602870334,-0.0006894782707141944,-2.8210593541300177e-05,0.0001324572405899671,-2.573322680454737e-05,6.632396638317495e-05,0.0,0.0,5.02375642977837e-05,0.02652675384503589,0.00010745251593913263,0.00012963545918187602,0.00017776692193249843,2.94478896695205e-05,0.0,-8.519424244579632e-05,-1.7899879705129962e-06
0.0,0.00015474806101134497,0.0003230641528152445,2.338950456870492e-06,2.476689070496363e-06,-2.7935811569013147e-05,2.0225110963112414e-05,0.0,0.0,5.29907017536857e-05,0.013956003887832469,-7.843418142639003e-06,7.169290551889418e-06,8.323536859911052e-05,1.2658361452477784e-05,0.0,0.0,0.00023454152866364542,-0.00037484524144437703,-3.082539795740136e-05,0.0001864490835957744,-1.4724245259611912e-05,8.695888454912648e-05,0.0,0.0,4.720786078382666e-05,0.027388102064650366,-2.9859009065935638e-05,0.0003276759253630912,5.369715962777466e-05,-2.9721659194348327e-05,0.0,-9.415310659000031e-05,1.9397516742847287e-05
0.0,-1.0183256233697868e-05,8.080193512571832e-05,2.0634831229271455e-06,-3.715802861625761e-06,1.4450776839480817e-05,-3.853456906899311e-06,0.0,0.0,3.069063153915419e-05,0.012959019505104585,6.055546333705308e-06,6.859440857232002e-05,9.94725934241325e-05,2.3253155229219225e-05,0.0,0.0,0.0002295940980266975,-0.0007419527467592557,-2.0091338997829666e-05,7.360729204031191e-05,3.5787167125267416e-06,9.329720528472585e-05,0.0,0.0,4.170194190888932e-05,0.026122905834115806,4.099922309308557e-05,0.0001591173012079894,0.00013438402955889828,1.3485560765746918e-05,0.0,-0.00020101225712498838,1.4583200163120758e-05
0.0,0.00016399075589879075,0.00016478910806927427,3.4124089476561537e-05,4.182839196664734e-05,-1.76140722121243e-05,-8.262175209550193e-07,0.0,0.0,1.8168959263653583e-05,0.01357224068447549,5.325303048409058e-05,6.748527798272619e-05,7.800796361612239e-05,-1.1145840461468381e-05,0.0,0.0,0.00018622275384616582,-0.0006978683529490493,5.903514344074434e-05,0.00020836976792759643,2.2294616707663195e-05,0.00011131738242275979,0.0,0.0,7.446281419654088e-05,0.02668521247644362,6.123409938862956e-05,0.0002948025891326145,0.00010753347652325829,8.256660368632929e-06,0.0,2.7808391355410578e-05,3.4380537787814802e-06
0.0,-5.217585249783774e-05,0.00019822102868805036,-5.7795034427154945e-06,2.0363054890948362e-05,-6.329392592818728e-06,4.4022546163979825e-06,0.0,0.0,-0.00010459435202370138,0.013255756485494041,-1.0457932589913455e-05,7.257894317802549e-05,9.13538838339667e-05,1.541048491693342e-05,0.0,0.0,0.00019504608475096052,-0.0008369931873907221,-5.477080243510013e-05,0.00015008395250748485,-4.2652846269364275e-06,0.00019154488934292058,0.0,0.0,5.119208776871442e-05,0.026040137219905723,4.884089869638952e-05,0.00020925149319617198,0.00018533302540157948,3.481470990496227e-05,0.0,8.300061908905754e-05,8.528220828529776e-06
0.0,0.00013933588409409392,0.00021292579247012,-4.678900094257088e-05,-5.641863666028257e-06,2.5461305017571156e-05,-6.330029597712006e-06,0.0,0.0,3.5919874580292444e-05,0.013966575390195857,6.055546333705308e-06,8.359853996287026e-05,7.030523428619428e-05,1.2796219752697624e-05,0.0,0.0,0.00022020679862455594,-0.0005907572461402166,5.508776246276881e-07,8.03505896544987e-05,1.6789556962160113e-05,6.866102691938103e-05,0.0,0.0,0.00010514319711640852,0.027010383348727407,3.838528950772524e-05,0.00022149003672644607,0.00016329199649600667,2.408111226748222e-05,0.0,-0.00015194455724010236,-1.239281776310719e-06
