importances_mean,importances_std,colnames
0.013782819494305277,0.0009420758077910982,Angle20
0.016773587664887544,0.006657641759993242,Coherency20
0.055756307165785196,0.07592752061413696,Energy20
0.01185762694265821,0.007431208250407854,MeanInt20
0.016743149821060795,0.019997517205046847,VarInt20
0.005094634345659251,0.0030467679751077117,Density20
0.004328176290029814,0.0007613953399751138,VarDensity20
0.012769433061507742,0.0008059333120555916,OrientationRef20
0.016378493126503784,0.0010869052285618853,Angle60
0.01663825416317205,0.0031800840434006855,Coherency60
0.14838338112078722,0.1486632830353461,Energy60
0.017193123448330856,0.014282835643989125,MeanInt60
0.0228318750762819,0.031925630258612336,VarInt60
0.007105384814833122,0.004169875268036312,Density60
0.005719779711238439,0.0007184254462648249,VarDensity60
0.01535225892560852,0.0014440123746276136,OrientationRef60
0.017236369951571795,0.0012191205885528004,Angle100
0.017706130536087144,0.00239751385503453,Coherency100
0.11791262772468511,0.11833265113435354,Energy100
0.0208041112198296,0.015028570366753256,MeanInt100
0.03718135357326616,0.04327223141643494,VarInt100
0.011621971066164324,0.0070278804839217545,Density100
0.008216161805670549,0.003937278652805449,VarDensity100
0.017077702919881615,0.0013326546301216555,OrientationRef100
0.01889692195766544,0.001392065674141096,Angle140
0.01988869100456467,0.0019736020469181222,Coherency140
0.1522534547073637,0.14387680342454498,Energy140
0.03085509751710148,0.019946076291834352,MeanInt140
0.045003198717053786,0.04754031618336227,VarInt140
0.018648511671530418,0.010662268976168265,Density140
0.010735793633371972,0.0031458279556781554,VarDensity140
0.018686928734985956,0.0020540887338552426,OrientationRef140
0.03958015866850812,0.01909839344362587,Dist
0.010986529418048589,0.005385094274958817,Frac
