model_0_importances_mean,model_0_importances_std,model_1_importances_mean,model_1_importances_std,model_2_importances_mean,model_2_importances_std,model_3_importances_mean,model_3_importances_std,model_4_importances_mean,model_4_importances_std,model_5_importances_mean,model_5_importances_std,model_6_importances_mean,model_6_importances_std,model_7_importances_mean,model_7_importances_std,colnames
0.007735662240599765,0.00013483558337804043,0.007062426895999922,0.00014757336597854154,0.0070440945365346066,0.00017211142632489313,0.007144923909516066,0.00016547870419545883,0.007213052432192405,0.00014240335044785938,0.00774223897632453,0.00014110831993554567,0.007518326525639126,0.00019259816353010915,0.007407003950173112,0.00013919471843346084,Angle20
0.013371447233614405,0.0002660598661589104,0.012703916595711469,0.0002477637178167535,0.0129674613247094,0.00023903845138905104,0.013045618626002842,0.0002492078728412666,0.012329377538435556,0.00019995166309475908,0.013121416115359441,0.0002988478316543833,0.012623289119628286,0.00020111531971218975,0.01361036107823506,0.0002662337574746063,Coherency20
0.02132978530160746,0.00031223301205554697,0.02302478879757386,0.0002857480584057264,0.02374754001625237,0.0002537589062594228,0.02342774021903131,0.00025312370858985824,0.023477292058422677,0.00031989081469296535,0.023278067143036343,0.00036980575406387006,0.020882405347913396,0.00031379109932861175,0.023800325047927052,0.00033306013587268613,Energy20
0.005282009766300022,0.0001310886964422152,0.004703033011086577,0.0001351874637416422,0.00582355373172205,0.0001704451013535103,0.0053669639326234175,0.00016221586660572924,0.005231009129121463,0.00013571048083841207,0.005011645694936217,0.00012764243836233953,0.005301291538031024,0.00014751277688517534,0.005136385422375726,0.00015684296294301312,MeanInt20
0.006796294028218782,0.00011481587442287846,0.0068048215309344535,0.00019141409522772566,0.006879547367690664,0.00014146696611438321,0.006668215641716361,0.00017391721275506223,0.006876699003451851,0.0001453992849777577,0.007231011818697027,0.00015728899904011512,0.006407216655055018,0.00014161524034791477,0.006614735930020935,0.00014739307248628765,VarInt20
0.001983205374447646,9.192505837812755e-05,0.001286473614200941,8.430911849047494e-05,0.0012160533088344785,7.641151548154286e-05,0.0016234810154419595,0.00011402361315637759,0.001236831640752689,8.601004992529766e-05,0.001470234237729399,8.092035922305499e-05,0.0017548212479937763,9.482394592239279e-05,0.001772794377140463,8.476518293651986e-05,Density20
0.0013585980391280117,8.945485802441278e-05,0.0014152293992650649,9.921714597772128e-05,0.0014746420318514622,6.886004997844958e-05,0.001212525407790066,7.852852246043694e-05,0.001125183306243127,8.228773792663155e-05,0.0010990067050457982,0.00010152535171649263,0.0015965648820789177,0.00010098290806626757,0.0013530997240351747,9.539670193369896e-05,VarDensity20
0.004957830874678297,0.00018265883430305027,0.005056898130140811,9.350982007110102e-05,0.005163184770484656,0.00014211305417450586,0.00482836987128273,0.00016148993407634778,0.005167176888040581,0.00016022667627331254,0.004958339658535708,0.00015669861794995708,0.005137676726089528,0.00011551800096650032,0.005224544724454628,0.00013912121506053833,OrientationRef20
0.009280139244662726,0.00016442909015602458,0.008987743398951224,0.00015340774567979503,0.009014430942652222,0.00016163549095920502,0.008893661999985803,0.00015338784215730892,0.009287329373077073,0.0001921731523985606,0.008373569898219638,0.00014102653594658826,0.009839416813989307,0.0001843819079400259,0.009452617472100725,0.00019608801217603505,Angle60
0.010713466724395323,0.00019944449378065654,0.010981150720626453,0.0001985000759072319,0.011035980433685255,0.00019393524532311065,0.01042217867499331,0.0002137783013952258,0.010282115264170947,0.000179491378990246,0.010412133075168577,0.00021135074051516667,0.010901239845454758,0.0001665274221227929,0.011685924304873366,0.00016982826107815214,Coherency60
0.11833518370157378,0.0008321081911339762,0.09952408943990171,0.0008276949595011966,0.08372254111818607,0.0006019909602719743,0.07619442277045971,0.0006533024977147674,0.10286676846865193,0.0007772883758118229,0.10083247791447285,0.0008136502006768221,0.11420856858129985,0.0008099047587791621,0.09928465049019548,0.0008171585856745262,Energy60
0.008308410930427864,0.00014111021458131125,0.0064265539220738485,0.0001679379074848897,0.00732086641379226,0.00015042813818843935,0.006663382792813951,0.00015310743936653953,0.006924427849129588,0.00015098211113877892,0.007350699081862126,0.00015539435957853608,0.006974815139847853,0.00015831405531089145,0.007160530553400957,0.0001441034227889786,MeanInt60
0.010832027778035802,0.0001759497813316304,0.010338689445336276,0.00017762245835689503,0.010517021280992389,0.00017226644217885196,0.010035585245551766,0.00020303723084422052,0.009527495026495969,0.0001455520083043845,0.010109940629727091,0.00022629699124257233,0.009312716672516274,0.00015777717257380082,0.011028999946415671,0.00020940461908045484,VarInt60
0.0027409905624761087,0.00013388173432183956,0.0025678518292590454,0.00010954095224121973,0.002402882354031044,0.00011089799759903159,0.002305862928835378,0.00011723555415899733,0.002764331815826674,0.00012259905613878753,0.002941362393523435,0.00013003779601403155,0.0025088266119842866,0.00011468972522278894,0.0024706411703707427,0.00010003815109605085,Density60
0.0025346673414716895,9.205870623874098e-05,0.0021709782257615475,0.0001160789875974347,0.002504831168364319,0.00012139664860216545,0.0019417917110391796,9.205297255818669e-05,0.002475906822359127,0.00011307958980351547,0.0024759479357690257,0.00011385060557898166,0.0019319217229995596,9.64332455583644e-05,0.0023821535934109663,0.00012120101961566957,VarDensity60
0.007775728632757387,0.00016142838293484844,0.007600731205395328,0.00016718579850396264,0.00841015322129666,0.00017370006159742217,0.007607043004616506,0.00018969338638545936,0.007973376525501185,0.0001795449948735003,0.0076901483781211056,0.0001521881471087625,0.008039387163128842,0.0001249951767243108,0.008250307991303378,0.0001678843766695001,OrientationRef60
