model_0_importances_mean,model_0_importances_std,model_1_importances_mean,model_1_importances_std,model_2_importances_mean,model_2_importances_std,model_3_importances_mean,model_3_importances_std,model_4_importances_mean,model_4_importances_std,model_5_importances_mean,model_5_importances_std,model_6_importances_mean,model_6_importances_std,model_7_importances_mean,model_7_importances_std,colnames
0.013655088435148923,0.0009583327193113684,0.0136382489244391,0.0010074369790163975,0.013569796259044064,0.0009912461723230758,0.013541503847441785,0.001000574524506639,0.013548145541817687,0.000888957243612373,0.013817249493512696,0.0009880447693107603,0.013782819494305277,0.0009420758077910982,0.01374841034960245,0.0009303930106995355,Angle20
0.01738202289300781,0.006213728051028791,0.01730362739790491,0.007522865370971135,0.01697711136952307,0.006524201496931117,0.017051667352051762,0.006290463603939527,0.016908568261420814,0.006342424131197048,0.01713784797437102,0.006349095316942685,0.016773587664887544,0.006657641759993242,0.016754245719630047,0.006270586509400874,Coherency20
0.05650638331439088,0.07853242841255344,0.06037298067029638,0.0764021937872254,0.05901605817799786,0.07736872490615605,0.05807425163011113,0.07677737322680549,0.058969994618332085,0.08136331634651875,0.06398259855633993,0.07924213151389314,0.055756307165785196,0.07592752061413696,0.06158096043039092,0.07606490580591256,Energy20
0.01188368538205941,0.008257025809633311,0.011125306299696568,0.006895225012473865,0.012856632022677731,0.00895091156208439,0.011806334375941072,0.007504847330422331,0.011655648776054123,0.0074219938527575035,0.011241297747008596,0.007101905838911778,0.01185762694265821,0.007431208250407854,0.01147490582606046,0.007038480445395666,MeanInt20
0.01662915846353265,0.018348308359343493,0.0170444791673088,0.020513256814405887,0.01650729191409747,0.01970134807591334,0.016377823996026875,0.019315258348405497,0.015423447785111188,0.016534521807869105,0.01725366467131038,0.019901997794224736,0.016743149821060795,0.019997517205046847,0.01660282153946141,0.019006415227546987,VarInt20
0.004999034827937503,0.0033469650219241924,0.00465191284006323,0.0015374948490049964,0.004315078334550192,0.0006006983245771309,0.005033089310919599,0.0030913771497727742,0.004334453547446536,0.0008667632864194332,0.004864883722833782,0.002720045781311687,0.005094634345659251,0.0030467679751077117,0.004626049714104486,0.0018904491353197463,Density20
0.0041525209198136955,0.0004908742562819094,0.004509615355427035,0.0018442362728233648,0.00435821916454453,0.000873757945885096,0.004136764941809586,0.0004808423881717692,0.004164488691829839,0.0005214649480646526,0.0041260108948458964,0.0004867716684319173,0.004328176290029814,0.0007613953399751138,0.004409470547173701,0.000739778125498133,VarDensity20
0.012628342875405235,0.0009450671396654389,0.012568921089425044,0.0010001420989950737,0.012818466759270248,0.0009511541404073475,0.012656765630954206,0.0008311051104590998,0.01258754146202756,0.0009567808674918374,0.012618320648798156,0.00095511637218325,0.012769433061507742,0.0008059333120555916,0.012550580765376174,0.0008564436004229103,OrientationRef20
0.016210043366799855,0.001126207166018665,0.016047323356633152,0.0010888203350087925,0.01616091875731444,0.0010603055342523805,0.016161081019403244,0.001151999415985571,0.016201317785307017,0.0011068712436157113,0.015979793207577753,0.001099138582518766,0.016378493126503784,0.0010869052285618853,0.016094589033416578,0.001003049536528234,Angle60
0.016453931783453942,0.003442592237774065,0.016539127007416533,0.0033419830086067084,0.0163282114341393,0.0031396620570189543,0.016572152272907585,0.003569789722270976,0.016514672174329722,0.003227425892181263,0.01664046414881506,0.0032203897870565395,0.01663825416317205,0.0031800840434006855,0.016877901651831725,0.0036804735256904717,Coherency60
0.15011994372860787,0.1463483606313894,0.1405686824089674,0.14716809958900012,0.13451290824618434,0.14638630283923487,0.13255643513882434,0.14707885935053575,0.14450553179498643,0.1449666534025898,0.1407237245415148,0.14705963328516988,0.14838338112078722,0.1486632830353461,0.14723862372494526,0.1515913457594141,Energy60
0.0171691274164121,0.014431225306084412,0.01494162517346374,0.0129884171144315,0.01591147403365506,0.013662760398822969,0.015603529753832232,0.014319925294894216,0.015827380374868902,0.013869799260480046,0.015880270514541047,0.0146719253566274,0.017193123448330856,0.014282835643989125,0.015778308059627818,0.013474634946248747,MeanInt60
0.024951016521083735,0.03441734810274209,0.026014738623078525,0.03457368728126617,0.025702874348398363,0.03195901110534849,0.024685400188969957,0.032228508490109053,0.023154259370212038,0.03142221504671998,0.025340118470478297,0.034267624296775365,0.0228318750762819,0.031925630258612336,0.024459461051917465,0.032489182612996985,VarInt60
0.006916250973328449,0.0032991295633176855,0.007345062164206703,0.003902080743800243,0.00733381464544107,0.003907529793985229,0.007057955420578995,0.0035380247351748818,0.007130673380165011,0.004123525296914947,0.0074726945704752775,0.003733082911437721,0.007105384814833122,0.004169875268036312,0.007759693075986076,0.005365062266781983,Density60
0.005938897822201144,0.0011811502182584974,0.005953183170255965,0.0010702857510030337,0.0057277741672830725,0.0008042353137472998,0.0057839137486578925,0.0010764988980134958,0.005808605252715816,0.0008805320528624201,0.005864778544267451,0.0011740463329855343,0.005719779711238439,0.0007184254462648249,0.00582413090801765,0.0008022077764055643,VarDensity60
0.015263611115023473,0.0013581076918943947,0.015090764585036567,0.0010983339838262073,0.015540567512403087,0.0013098635733460144,0.015450439477375169,0.0010654738704397155,0.01494910040528962,0.0012736495702780684,0.015391751462618654,0.0012160306731021913,0.01535225892560852,0.0014440123746276136,0.015112060693245007,0.0011733885051648503,OrientationRef60
0.017016019208703485,0.001098150573500532,0.017283530383641117,0.0012044974422340399,0.01723950027063807,0.0012836377557634874,0.01734816453257684,0.0014119060267329547,0.017254587128638685,0.0013018637884790669,0.017086724421725454,0.0010860352038161213,0.017236369951571795,0.0012191205885528004,0.017193867276919638,0.0013341943731097518,Angle100
