model_0_importances_mean,model_0_importances_std,model_1_importances_mean,model_1_importances_std,model_2_importances_mean,model_2_importances_std,model_3_importances_mean,model_3_importances_std,model_4_importances_mean,model_4_importances_std,model_5_importances_mean,model_5_importances_std,model_6_importances_mean,model_6_importances_std,model_7_importances_mean,model_7_importances_std,model_8_importances_mean,model_8_importances_std,model_9_importances_mean,model_9_importances_std,colnames
0.005407519757013582,0.00015605746253652536,0.005355383361981903,0.00018153768732914746,0.005478056010814381,0.00017954888257070312,0.005773769884998436,0.0001805204808041411,0.005697443745894108,0.00018597945842258794,0.005380064202472057,0.00016378459265253375,0.006040737702474763,0.00015390444446916648,0.005570131531229964,0.00015850908454884303,0.005774429838897684,0.00015618645832034657,0.0055765261532150405,0.00016353003924265443,Angle20
0.010007030540575968,0.0002054111045269141,0.01018780534808737,0.0002423276761368421,0.009215977731121117,0.00022195211039596484,0.0101647890611633,0.00024003255453173232,0.008903686953020355,0.00027619631604383285,0.010692996752087217,0.000278616439920591,0.010685455449169353,0.00018673363014593333,0.010376043191582385,0.00021746872039545627,0.010943837282213225,0.0002862020326826137,0.009910725759631644,0.0002129946325257173,Coherency20
0.06883738526110687,0.0004782133489829864,0.06348317903707562,0.00040465290982950793,0.06669696520297783,0.0005954414926196751,0.06785747508062749,0.0005474589276543554,0.06702428681144815,0.0006008910692846037,0.06486175177819622,0.0005183396360765262,0.06332426744793729,0.0005602319527870701,0.0698813073387207,0.0005333372100558003,0.06202600091819925,0.0005366546264677357,0.06573807833045818,0.000431249028907576,Energy20
0.003379613017002651,0.0001463606598305114,0.0036243531052470987,0.0001270271421520263,0.003087210785392051,0.00014492031265983917,0.004068928809302456,0.00017918133316946656,0.0034545982776523357,0.0001235033083900853,0.00394167039717717,0.00018728869001185158,0.0037800730444859025,0.00013415391640391182,0.0037176283521981363,0.0001423632176908278,0.003245315764540731,0.00015178839922226655,0.0028832845188191663,0.0001457344603069145,MeanInt20
0.0063566851091764335,0.0001733259034480151,0.006166750836585629,0.0001541490346114645,0.006566076187536208,0.00021503888933410673,0.0065732457304601795,0.00016924112446051163,0.006050610321334963,0.00012232623833633737,0.005977757029752769,0.00020523191924585432,0.006747223458739179,0.00014315772250547901,0.006262203103106501,0.00015817101591350896,0.006142793561437313,0.00020137800538744775,0.006698304977350485,0.00015989792567338188,VarInt20
0.002321883322775557,0.00014187467312404693,0.0023205738462289756,0.00011815074087599684,0.00218513788416167,0.00012181913539779185,0.0024610330562247966,0.00010007928917966588,0.00242955132871772,0.0001305019782965267,0.0018851286535035946,0.0001297876284521374,0.002114720085630543,0.00010965273641501535,0.00202277327917794,0.00011290346161726224,0.0019887204391877264,0.00011318276213015829,0.00229140434996095,0.00011882072196167632,Density20
0.0021693331436408283,0.0001525183516404969,0.0023284505716801925,0.00016204513107922705,0.0022063786248432897,9.172284868728034e-05,0.0023772072859124934,0.0001332690699951862,0.002414867472418514,0.00011520551768601539,0.0021582990967077016,0.00012953400412457833,0.0023011101355405296,0.00011880171131150695,0.0020669847410503743,0.0001134008431413166,0.0023643055652034914,0.0001446765174628873,0.0020374133640738146,0.00014263132329821814,VarDensity20
0.005274838498249531,0.00015872106519764336,0.005491853482363573,0.00013685901870937877,0.005811715637368916,0.0001590888054612601,0.0053682182166229775,0.00012460342791865576,0.005357815509025532,0.00016886881691516553,0.0051501397755802205,0.00017761264691404385,0.005613734847995082,0.00017843414084193433,0.00502219133853119,0.00017713734743104087,0.005816607161336044,0.00018336300289056198,0.005400687660405886,0.0001459847274126759,OrientationRef20
0.010776517090523519,0.00018838192591319735,0.01025075927200766,0.0002642913545950255,0.009692489471602362,0.00027235002469405624,0.011609787228873063,0.00019162079453347968,0.01009447929859878,0.0002029379029746952,0.010465409962386688,0.00021471410577339275,0.010912474867458858,0.0002059001606567242,0.009516932479455405,0.0002605437830328444,0.010055828492984102,0.000217678682632601,0.010074702376285782,0.00021298318753162082,Angle60
0.012778308733183582,0.00029476762205370735,0.012864630849961027,0.0002832828045840636,0.01365053925366142,0.00030883648586088705,0.012605801285489767,0.00027971802327976964,0.013713719191120315,0.0002822592793900596,0.01255561347667421,0.0002864475792335323,0.011816370038132861,0.00033204264208110064,0.012552323596576915,0.0002573889971810687,0.013107839446170421,0.0002520276997816099,0.014296450838221009,0.0002822104529032038,Coherency60
0.06634222854450712,0.00058856811729279,0.06144368623716337,0.0006241281075483484,0.05727705665055004,0.0006402361096503032,0.06416161888064273,0.0005190395378051252,0.06069071276371973,0.0005993114557473774,0.06225690443156614,0.0004545098886340659,0.0720882061607539,0.0006232249457189,0.05981616747376914,0.0005556787334789603,0.0692119388031661,0.0005027260421373888,0.062468056902187194,0.0005519130965898978,Energy60
0.006376597709460966,0.00016818937608795268,0.006713213589357547,0.00020209640471495133,0.006412300381836378,0.00016205889204876453,0.007616298637079673,0.00017143269882890296,0.007534058646102445,0.00019957995872540518,0.00695653116787367,0.00013769790372678806,0.006063334957514266,0.00019221063606307163,0.006543664732079823,0.00017240429972607658,0.007019421113655488,0.00019749528396947647,0.007769520105324468,0.0001733462435512496,MeanInt60
0.008129937964047243,0.00020829934798286264,0.007825730963415312,0.00019235332022855372,0.007531966563009348,0.00021784266001483992,0.008462882816403127,0.000244780068551193,0.00833741648225641,0.00016578257012111393,0.008255351576113342,0.00016809875223287572,0.008592779648595133,0.00018887625512478107,0.007985269712928632,0.00016574647518325392,0.008130553056594946,0.00023336089107166033,0.008591287614153665,0.00018845546803420755,VarInt60
