model_0_importances_mean,model_0_importances_std,model_1_importances_mean,model_1_importances_std,model_2_importances_mean,model_2_importances_std,model_3_importances_mean,model_3_importances_std,model_4_importances_mean,model_4_importances_std,model_5_importances_mean,model_5_importances_std,model_6_importances_mean,model_6_importances_std,model_7_importances_mean,model_7_importances_std,model_8_importances_mean,model_8_importances_std,model_9_importances_mean,model_9_importances_std,colnames
0.015604714104348034,0.000819890990469728,0.015597725785618426,0.0008626681205718374,0.015716350609083992,0.000837036433109521,0.015599605913350943,0.0008136331826805011,0.01550719213164054,0.0008398551036605882,0.015617780073482752,0.0009338992873964006,0.015564521661511446,0.000811451452955019,0.015649832403067658,0.0008433528644236409,0.01558719063453178,0.0008954011142819205,0.015621013183877597,0.0008813930847533987,Angle20
0.025601462353267993,0.009887772082780223,0.025786300258672654,0.010220459296554683,0.02514439270966162,0.0099408180872642,0.026689785944516146,0.011140081275570441,0.025660606652088188,0.010377698764375448,0.025379675812056204,0.009937494947835336,0.02542316797957338,0.009730189220838278,0.025748344346992125,0.010210738847235425,0.0263972066740337,0.011740246515390868,0.02675119689261617,0.011645734444670347,Coherency20
0.060066257687597845,0.0335630084162521,0.058158366409513045,0.031497312785492934,0.06011377495334588,0.032175001028866564,0.06132105860590246,0.033265336251084264,0.0585752916091383,0.03217970347485608,0.06110438866661457,0.03465787078838531,0.05911486056965555,0.031139923528645908,0.05942232065648169,0.032973156279705866,0.05926157116464367,0.031680466908997534,0.06037592152066984,0.031862194009708716,Energy20
0.014056260519134636,0.004632295233563308,0.01362268968588908,0.0036778639895193527,0.01320893602207945,0.0031499316354733943,0.013922819351222419,0.004487654122123579,0.01321356007504624,0.0032643260894045846,0.013483711933379805,0.0033067186948613513,0.01339941455185333,0.004397614405271016,0.013789498207407061,0.0036870483349979934,0.013521930272281145,0.0033842823399365474,0.014402532037370339,0.005190575647810801,MeanInt20
0.01956495242183178,0.0029901020215398534,0.01953943780265084,0.0032598116972829927,0.019597079229441452,0.003920137819492696,0.01990760936745934,0.003390826690755234,0.019425781043428954,0.0033417969597609723,0.019968084911430223,0.003651093739817565,0.020162034639926326,0.004912837195172564,0.019984860728826197,0.003739211672949344,0.01989875805437556,0.0034782903029914325,0.020856067025388652,0.0048444037963414595,VarInt20
0.006374074350529928,0.0025564606154469365,0.007244928831322332,0.0036862901549779715,0.006843921945797941,0.003357298757770233,0.007087481821718612,0.003516955015276979,0.006579746750935435,0.002334456913222392,0.006464484210104133,0.0023572739942270098,0.0071279590678178335,0.0035785982501026796,0.007044563516522334,0.0038620728898758603,0.007944159408904597,0.004106271081968987,0.007218421665390109,0.0034417480446617263,Density20
0.006669612742815204,0.00304617208699728,0.006430119980107829,0.003127709848850896,0.006351620543732893,0.003656036899293596,0.006438077060946066,0.0030337493107540758,0.006270491331439731,0.0027843930530165547,0.006547286810345448,0.004906444450240344,0.006125909268778675,0.001947146610466913,0.005902151468948075,0.0014134165352465197,0.0059865697474660315,0.00196911589425352,0.006793620856167787,0.0036333482062378395,VarDensity20
0.014425871252807072,0.0009701764505036849,0.014415179319799456,0.000816354543815728,0.014404330900457523,0.0007175922379215592,0.014314096354274141,0.0007209011774621473,0.014304085053196892,0.0008877480935669195,0.01427228493098486,0.0008384906485304762,0.014468178769403242,0.0007966334146111691,0.014313652378454606,0.000827700402683586,0.014296846633209381,0.0007910931466116359,0.014365978420061778,0.0008459065729186506,OrientationRef20
0.019398726518271427,0.0012280977967549633,0.019376032456144814,0.0012144111034883473,0.01945995860777693,0.0010333830360365974,0.019413960009968426,0.0013233433702926503,0.019377531549571027,0.0012198559990472125,0.019435268118485272,0.0012266408717624237,0.019395858723108436,0.0011006919886157364,0.019285148335259877,0.0012751704975172218,0.01904326735778282,0.0010461114150562315,0.019467597409455358,0.0010922094262646106,Angle60
0.021882288170682832,0.0038457701815788267,0.022791282732242787,0.004030369175694899,0.022306888730759384,0.0036466149353084807,0.022008131716722203,0.0038261791170079583,0.02244073932424556,0.004166596787516878,0.022504010776608067,0.004415557472520945,0.021894430862622112,0.003552985154872539,0.022314520715568574,0.004285246458469544,0.02227626730293816,0.003998664099145015,0.022011139590134027,0.004250161563642992,Coherency60
0.09858445651428978,0.08105190165032136,0.1016439097438777,0.08144052184182603,0.09485402935079944,0.0798054760331935,0.10660709940243833,0.07958974410365974,0.09849936587045037,0.07963471842724011,0.09648695327627924,0.07997498507180645,0.09750905341425133,0.07872484938484922,0.09777465972284179,0.07800216377020511,0.09720823506390668,0.07931055157944988,0.09758453020233701,0.07716334447607522,Energy60
0.017677879239857305,0.0069837400587912666,0.018803438498510374,0.008379507739325607,0.017015399113100526,0.0060328633513521855,0.017867107794474667,0.006472819275178583,0.018293064115176085,0.0072603424051270885,0.018401363464203676,0.007818820326205907,0.017623786364013194,0.005997756616591367,0.017357233030138166,0.006595441335347945,0.017946037501880823,0.007674005136232437,0.017980724960923088,0.0070016646783716665,MeanInt60
0.02138469078938447,0.011196785844429862,0.021912507272655462,0.012110620913694446,0.021482193268547414,0.010433881520960376,0.021812726770039557,0.011252176481181889,0.022599206525552678,0.011746773164697242,0.020881969426264937,0.0109285985783117,0.022774956130350348,0.01313972766649499,0.021371067100512228,0.01103271753165437,0.02216937055722248,0.011181244276993166,0.022221921570718887,0.011815131624931138,VarInt60
