mean,std,score
0.650367366450383,0.023158815375719503,accuracy
0.6776520570970309,0.00801883368440524,balanced_accuracy
0.22594234047333028,0.01864185590781583,precision
0.7143000719474135,0.022719317282753185,recall
0.677652057097031,0.008018833684405202,auc
0.24174906933182105,0.013968564916268416,mcc
0.3426665175052761,0.020708891946207852,f1
