importances_mean,importances_std,colnames
0.005273144357379992,0.00015518907675798023,Angle20
0.009546903454795292,0.0002582299691566381,Coherency20
0.04450307979119126,0.00034930665388624427,Energy20
0.0030694163863821842,0.00012904110475289254,MeanInt20
0.0055554409646484506,0.00019295045395923725,VarInt20
0.0020167023268700566,0.0001207335460829186,Density20
0.0019257070565920373,0.00012361309063095113,VarDensity20
0.004898482143567995,0.00015439836316457763,OrientationRef20
0.007236813681835941,0.00016696315019744878,Angle60
0.009533228281562712,0.0001733406764045697,Coherency60
0.05542977987651927,0.0004335103447485819,Energy60
0.005339074535382053,0.00015795172412064274,MeanInt60
0.010141761236474475,0.0002735378766435255,VarInt60
0.003013757853113197,0.00016694750620378446,Density60
0.002108887591448131,0.00016808729903164415,VarDensity60
0.0074206375629679725,0.0002334554600575999,OrientationRef60
0.008546615667585107,0.00018025737446057091,Angle100
0.014449015519044687,0.00020736271027469415,Coherency100
0.036711376428326205,0.00033554166873917365,Energy100
0.010674012101517309,0.0002506833955700978,MeanInt100
0.018729789261567212,0.00035887898935740495,VarInt100
0.005840034222750542,0.00023207954217723982,Density100
0.004216559306146402,0.00016033968388510256,VarDensity100
0.011041465526246503,0.0002535000516701407,OrientationRef100
0.012693713798129757,0.00022762530117315701,Angle140
0.02754869844655099,0.0002512509230551639,Coherency140
0.036405692448396275,0.00030936667415939215,Energy140
0.027611288057303895,0.0003239478053491718,MeanInt140
0.032706406356156126,0.00042114754255713363,VarInt140
0.016577850321110792,0.00025842082339370514,Density140
0.011319474886421295,0.00024293197264769426,VarDensity140
0.013092836244483881,0.00023357196335977419,OrientationRef140
0.09756095264279746,0.0007401075619269862,Dist
0.004672427430277748,0.00016957433159644776,Frac
