importances_mean,importances_std,colnames
0.005478056010814381,0.00017954888257070312,Angle20
0.009215977731121117,0.00022195211039596484,Coherency20
0.06669696520297783,0.0005954414926196751,Energy20
0.003087210785392051,0.00014492031265983917,MeanInt20
0.006566076187536208,0.00021503888933410673,VarInt20
0.00218513788416167,0.00012181913539779185,Density20
0.0022063786248432897,9.172284868728034e-05,VarDensity20
0.005811715637368916,0.0001590888054612601,OrientationRef20
0.009692489471602362,0.00027235002469405624,Angle60
0.01365053925366142,0.00030883648586088705,Coherency60
0.05727705665055004,0.0006402361096503032,Energy60
0.006412300381836378,0.00016205889204876453,MeanInt60
0.007531966563009348,0.00021784266001483992,VarInt60
0.0037657152561838807,0.00022624386831249392,Density60
0.0023614343369911415,0.00016836442313329598,VarDensity60
0.011230233906472379,0.00022236275505464745,OrientationRef60
0.013605415745094999,0.0002633719187690723,Angle100
0.017917675121658143,0.00032647063376397065,Coherency100
0.035280257618686285,0.00045764384475929543,Energy100
0.010509502836970226,0.00028850793411388853,MeanInt100
0.010846833150831632,0.00020008321101368056,VarInt100
0.007393208479775741,0.00020975176977197367,Density100
0.004568944752140921,0.00019960629041301047,VarDensity100
0.014756926775553314,0.00027477339174382696,OrientationRef100
0.017341977208669087,0.0003209436711370797,Angle140
0.03022389866655082,0.0003367945266617057,Coherency140
0.04375035957737667,0.0004782391993154985,Energy140
0.020792659439316394,0.00043211499045711735,MeanInt140
0.013266738130971949,0.0002430760717871643,VarInt140
0.010446455813021442,0.00034184139719580534,Density140
0.006083188249888198,0.0001737838635564674,VarDensity140
0.021807379186640715,0.0002932086034297987,OrientationRef140
0.07566833745011609,0.0004710934402950465,Dist
0.006217249732203482,0.00022104074828832202,Frac
