importances_mean,importances_std,colnames
0.0,0.0,Angle20
-0.0001100492736748504,6.536200048109863e-05,Coherency20
0.0006531956889084034,0.00012610164391418748,Energy20
0.0,0.0,MeanInt20
0.0,0.0,VarInt20
-3.1949789132013075e-06,2.2477267537998827e-05,Density20
-1.9169873478896982e-05,1.8865044453652154e-05,VarDensity20
0.0,0.0,OrientationRef20
0.0,0.0,Angle60
6.3899578262360816e-06,1.9688773020001412e-05,Coherency60
-0.0008136546298795122,0.0002725485119483062,Energy60
-5.111966261028833e-05,2.966727122640662e-05,MeanInt60
-0.00042812717436070403,7.635668693186366e-05,VarInt60
1.7039887536707266e-05,2.0256652823203563e-05,Density60
-3.194978913145796e-05,7.6138515078515345e-06,VarDensity60
0.0,0.0,OrientationRef60
0.0,0.0,Angle100
4.3664711812840815e-05,3.449327934206419e-05,Coherency100
-0.000864419294832719,0.0001935128014377093,Energy100
-9.620436505126672e-05,1.3134913309572046e-05,MeanInt100
-0.0006886954546100443,8.660778826222546e-05,VarInt100
-8.555443534078445e-05,1.3606185405884982e-05,Density100
0.00010756429007562352,3.787177831252683e-05,VarDensity100
3.54997657014966e-07,1.0649929710448978e-06,OrientationRef100
0.0,0.0,Angle140
9.762435567919336e-05,3.1880687081099805e-05,Coherency140
0.011154026383425808,0.0003490405131903667,Energy140
0.00022364852391970613,4.8206538195669175e-05,MeanInt140
-0.0004945117362225915,6.810128343899183e-05,VarInt140
0.00011785922212906864,4.419114868606055e-05,Density140
-5.466963918042689e-05,3.4680927372647404e-05,VarDensity140
0.0,0.0,OrientationRef140
6.318958294869726e-05,4.762264128973117e-05,Dist
2.6269826619118585e-05,3.504242272906948e-05,Frac
