model,mean,std,score
0,0.7678040690639485,0.01582750567164417,precision
1,0.8278274537580538,0.01382749787535665,precision
2,,,precision
3,0.7930766439186018,0.009008393746951154,precision
4,0.23654810425046505,0.0020250304163113874,precision
5,0.8771595026785987,0.012348294468197308,precision
6,0.4395297238495348,0.011773500193305702,precision
7,0.2377053774845383,0.0022743363287562996,precision
8,,,precision
9,0.18380158075387298,0.0006917460931020346,precision
10,0.41590996337517794,0.011865008479802886,precision
11,0.2395673020903557,0.0019013873237886723,precision
12,0.18370106620525817,0.0006610141641824889,precision
13,0.18267855576230407,0.0006375422833212315,precision
14,0.2423151658305484,0.0021636023466892313,precision
15,,,precision
16,,,precision
17,0.18370106620525817,0.0006610141641824889,precision
18,0.4642261322835889,0.009313301328782836,precision
19,,,precision
20,0.23360539456617077,0.003460481417934267,precision
21,0.4713873414150858,0.009921018508264724,precision
22,,,precision
23,0.41590996337517794,0.011865008479802886,precision
24,0.7246878742868169,0.011530022850850733,precision
25,0.18316376620784,0.0008678440192619242,precision
26,,,precision
27,0.18389034945233523,0.00061925258817936,precision
28,0.237189790320752,0.0022940776560759547,precision
29,0.49602283335127817,0.012139217270627207,precision
30,0.23462871333973712,0.003201963786472818,precision
31,,,precision
32,0.45145694909621026,0.012008744226289824,precision
33,0.18314558550876447,0.0008699890223608309,precision
34,0.23360539456617077,0.003460481417934267,precision
35,,,precision
36,0.241228589089257,0.0023680852773685186,precision
37,0.18265308145289158,0.0005745391761598149,precision
38,0.2403060925111383,0.0019045880280291283,precision
39,0.23767828472557126,0.002412496076154706,precision
40,0.18390610993979092,0.0005932160930333084,precision
41,0.8307928879348913,0.008795301683561314,precision
42,,,precision
43,0.1837937950287988,0.0005751566226014702,precision
44,0.8480153713873145,0.009793390057581926,precision
45,,,precision
46,0.7720216163898643,0.010400471612983868,precision
47,,,precision
48,,,precision
49,,,precision
0,0.9086144482613548,0.0017971940994905857,recall
1,0.9469917428036633,0.0014697996615386125,recall
2,,,recall
3,0.9345548753611759,0.0019573792025882213,recall
