importances_mean,importances_std,colnames
0.007735662240599765,0.00013483558337804043,Angle20
0.013371447233614405,0.0002660598661589104,Coherency20
0.02132978530160746,0.00031223301205554697,Energy20
0.005282009766300022,0.0001310886964422152,MeanInt20
0.006796294028218782,0.00011481587442287846,VarInt20
0.001983205374447646,9.192505837812755e-05,Density20
0.0013585980391280117,8.945485802441278e-05,VarDensity20
0.004957830874678297,0.00018265883430305027,OrientationRef20
0.009280139244662726,0.00016442909015602458,Angle60
0.010713466724395323,0.00019944449378065654,Coherency60
0.11833518370157378,0.0008321081911339762,Energy60
0.008308410930427864,0.00014111021458131125,MeanInt60
0.010832027778035802,0.0001759497813316304,VarInt60
0.0027409905624761087,0.00013388173432183956,Density60
0.0025346673414716895,9.205870623874098e-05,VarDensity60
0.007775728632757387,0.00016142838293484844,OrientationRef60
0.010257498848541288,0.00016092213965460353,Angle100
0.011041756375556992,0.00023694657464844054,Coherency100
0.04486674811430595,0.0004384784821316466,Energy100
0.010306814740342415,0.00018832436133136096,MeanInt100
0.015407229960924458,0.00028871106552087576,VarInt100
0.005532674849953615,0.00019782850033833025,Density100
0.005824781610656941,0.00014248798648998744,VarDensity100
0.00917029029857267,0.00016694308134591703,OrientationRef100
0.011188057003410934,0.0001524211109601447,Angle140
0.013135193538031397,0.0001873109230227527,Coherency140
0.05617480430099374,0.00038072561501807244,Energy140
0.017099313719947443,0.00023941772772499215,MeanInt140
0.022574261211205267,0.00037820337678473175,VarInt140
0.011694261643787037,0.0001906739655085759,Density140
0.007029559687049558,0.00016729199307143617,VarDensity140
0.01040590492250986,0.00019430517695166486,OrientationRef140
0.03703006946717389,0.0002553087460261491,Dist
0.005190781410679117,0.00013852743181417236,Frac
