importances_mean,importances_std,colnames
0.01536198357080692,0.001647802258013997,Angle20
0.02775097163197861,0.008348381820960954,Coherency20
0.08311316633750256,0.020002473469033857,Energy20
0.011546632593458655,0.003664566082946348,MeanInt20
0.017376230993894275,0.006555676888627854,VarInt20
0.007922046383847903,0.0027705488442009312,Density20
0.007124640388821988,0.0010725639810875598,VarDensity20
0.015285088429394408,0.002113952565349445,OrientationRef20
0.020752470957957847,0.0023780084753660174,Angle60
0.02343228847184725,0.0048101296839903,Coherency60
0.05547015809478689,0.019221960892640912,Energy60
0.015457464816058067,0.006150725422340263,MeanInt60
0.032981821359231084,0.016466178458712167,VarInt60
0.011847008059399146,0.003917819292735061,Density60
0.008370580668303724,0.0014175457250868051,VarDensity60
0.02044905334988982,0.003085617323964036,OrientationRef60
0.022821030636098312,0.003107950988748451,Angle100
0.02618809437792275,0.004348046927534363,Coherency100
0.05061129854959293,0.010521354025642273,Energy100
0.022202241696263923,0.00859682679460053,MeanInt100
0.04986354166955727,0.022373844508718436,VarInt100
0.018169629146277046,0.009071375764167234,Density100
0.010752620936688495,0.004014444914883489,VarDensity100
0.025175346033398254,0.004228821509171498,OrientationRef100
0.025987796914972872,0.003541729427448906,Angle140
0.028453104329790736,0.004172796847074593,Coherency140
0.0475289573394118,0.009887807298319165,Energy140
0.0303166263833426,0.012954718824911365,MeanInt140
0.06339475117761086,0.02489065716810458,VarInt140
0.03132623241639805,0.01398036945862118,Density140
0.020084500688410285,0.009638638118113416,VarDensity140
0.028100290631512446,0.004200148193049032,OrientationRef140
0.11100404403924406,0.022348403770924626,Dist
0.013778286926328168,0.005263249355881173,Frac
